,headline,abstract,date,category,emotion,source,links,sentiment,Emotion,reportCountry
67,"Coronavirus, a Fire and Anxiety in the Chinese Community",Lunar New Year celebrations have taken on a muted feel.,2020/1/30,culture,1,nytimes,https://www.nytimes.com/2020/01/30/nyregion/coronavirus-chinatown-museum-fire.html,0,0.8,1
68,Pompeo Calls China¡¯s Ruling Party ¡®Central Threat of Our Times¡¯,Secretary of State Mike Pompeo made the stark statement at,2020/1/30,politics ,0,nytimes,https://www.nytimes.com/2020/01/30/world/europe/pompeo-uk-china-huawei.html,0,0,1
810,Decoupling not good for China or US,,2020/9/7,politics,-1,chinadaily,https://epaper.chinadaily.com.cn/a/202008/18/WS5f3b1e3aa3107831ec75455f.html,-0.35,-0.87,1
640,US attack on Chinese media a bad joke,,2020/3/14,politics,-1,chinadaily,https://www.chinadaily.com.cn/a/202003/06/WS5e61ea9ea31012821727cf40.html,-0.35,-0.87,1
428,"With a Wary Eye on China, Taiwan Moves to Revamp Its Military",The self-governing democracy is taking steps to bolster its armed,2020/8/30,military,-1,nytimes,https://www.nytimes.com/2020/08/30/world/asia/taiwan-china-military.html,-0.3,-0.86,1
802,US playing dirty tricks again in the South China Sea: China Daily editorial,,2020/8/27,military,-1,chinadaily,https://www.chinadaily.com.cn/a/202002/27/WS5e56ae86a31012821727a94d.html,-0.3,-0.86,1
869,Why is the US so afraid of Chinese communists visiting the country?,,2020/12/4,politics,-1,chinadaily,https://www.chinadaily.com.cn/a/202007/29/WS5f207beca31083481725ca81.html,-0.3,-0.86,1
74,"Impeachment, China, Super Bowl: Your Friday Evening Briefing",Here¡¯s what you need to know at the end of,2020/1/31,covid-19,0,nytimes,https://www.nytimes.com/2020/01/31/briefing/impeachment-china-super-bowl.html,0.333333333,0.333333333,1
406,"How TikTok¡¯s Owner Tried, and Failed, to Cross the U.S.-China Divide","The founder of ByteDance, Zhang Yiming, dreamed of building a",2020/8/3,business,-1,nytimes,https://www.nytimes.com/2020/08/03/technology/tiktok-bytedance-us-china.html,-0.25,-0.85,1
702,"Pandemic unlikely to 'bring jobs back' to US, as Trump promised",,2020/5/29,society,-1,chinadaily,https://epaper.chinadaily.com.cn/a/202008/25/WS5f4463f2a31003221e3643a3.html,-0.25,-0.85,1
77,China and America Can Compete and Coexist,Even strategic enemies can build trust when they measure the,2020/2/3,politics ,1,nytimes,https://www.nytimes.com/2020/02/03/opinion/pla-us-china-cold-war-military-sea.html,0,0.8,1
839,"US fails to fulfill climate obligations, disturbs global progress: report",,2020/10/23,politics,-1,chinadaily,https://global.chinadaily.com.cn/a/202002/01/WS5e34b2a2a310128217273eda.html,-0.25,-0.85,1
248,"U.S. and China Trade Coronavirus Accusations, Sparking Fears of a New Cold War","New evidence of deepening economic crisis came from Germany, China",2020/5/15,covid-19,-1,nytimes,https://www.nytimes.com/2020/05/15/world/coronavirus-news.html,-0.231818182,-0.846363636,1
764,HKSAR must brace itself for 'new Cold War' waged by US,,2020/7/30,politics,-1,chinadaily,https://global.chinadaily.com.cn/a/202002/27/WS5e577f4da31012821727ad66.html,-0.231818182,-0.846363636,1
85,"As China Clamps Down on Negative News, Quarantines on Land and Sea","There are now 12 confirmed cases in the United States,",2020/2/5,covid-19,-1,nytimes,https://www.nytimes.com/2020/02/05/world/asia/coronavirus-china.html,-0.227777778,-0.845555556,1
82,"Deaths in China Rise, With No Sign of Slowdown",Hyundai is suspending production in South Korea amid supply chain,2020/2/4,covid-19,0,nytimes,https://www.nytimes.com/2020/02/04/world/asia/coronavirus-china.html,0,0,1
83,Virus Exposes Cracks in Carmakers¡¯ Chinese Supply Chains,"Hyundai will idle plants in South Korea, pointing to a",2020/2/4,covid-19,0,nytimes,https://www.nytimes.com/2020/02/04/business/hyundai-south-korea-coronavirus.html,0,0,1
84,"Coronavirus in N.Y.: Without Chinese Tourists, Business Sags",New York and other tourist destinations around the world are,2020/2/4,covid-19,0,nytimes,https://www.nytimes.com/2020/02/04/nyregion/coronavirus-nyc.html,0,0,1
263,"As Coronavirus Keeps the West at Bay, China Moves to Tame Hong Kong","An emboldened China and its leader, Xi Jinping, assert themselves",2020/5/22,politics,-1,nytimes,https://www.nytimes.com/2020/05/22/business/china-hong-kong-national-security.html,-0.216666667,-0.843333333,1
86,Who Says It¡¯s Not Safe to Travel to China?,The coronavirus travel ban is unjust and doesn¡¯t work anyway.,2020/2/5,covid-19,1,nytimes,https://www.nytimes.com/2020/02/05/opinion/china-travel-coronavirus.html,-0.25,0.75,1
